stock_id,stock_name,stock_price
600723,首商股份,6.80
600724,宁波富达,5.80
600725,ST云维,4.85
600726,*ST华源,5.88
600727,鲁北化工,6.28
600728,佳都科技,8.90
600729,重庆百货,1.50
600730,中国高科,4.80
600731,湖南海利,6.10
600732,ST新梅,5.18
600733,北汽蓝谷,5.25
600734,实达集团,7.35
600735,新华锦,1.00
600736,苏州高新,7.95
600737,中粮糖业,5.78
600738,兰州民百,10.00
600739,辽宁成大,8.28
600740,山西焦化,6.00
600741,华域汽车,5.80
600742,一汽富维,8.18
600743,华远地产,6.18
600744,华银电力,8.10
600745,闻泰科技,1.00
600746,江苏索普,5.80
600747,退市大控,6.10
600748,上实发展,5.40
600749,西藏旅游,4.00
600750,江中药业,6.80
600751,海航科技,1.50
600753,东方银星,5.18
600754,锦江酒店,4.90
600755,厦门国贸,10.68
600756,浪潮软件,5.60
600757,长江传媒,7.98
600758,红阳能源,8.48
600759,洲际油气,1.00
600760,中航沈飞,13.38
600761,安徽合力,5.20
600763,通策医疗,4.08
600764,中国海防,6.18
600765,中航重机,5.80
600766,园城黄金,1.00
600767,ST运盛,6.50
600768,宁波富邦,5.20
600769,祥龙电业,5.88
600770,综艺股份,7.88
600771,广誉远,4.80
600773,西藏城投,5.36
600774,汉商集团,2.80
600775,南京熊猫,5.10
600776,东方通信,10.80
600777,新潮能源,100.00
600778,友好集团,4.20
600779,水井坊,4.76
600780,通宝能源,4.76
600781,ST辅仁,4.90
600782,新钢股份,6.89
600783,鲁信创投,131.00
600784,鲁银投资,6.58
600785,新华百货,4.05
600787,中储股份,4.10
600789,鲁抗医药,6.30
600790,轻纺城,6.78
600791,京能置业,4.02
600792,云煤能源,4.80
600793,宜宾纸业,1.00
600794,保税科技,3.75
600795,国电电力,1.40
600796,钱江生化,5.13
600797,浙大网新,6.12
600798,宁波海运,6.45
600800,天津磁卡,3.10
600801,华新水泥,3.80
600802,福建水泥,2.68
600803,新奥股份,5.00
600804,鹏博士,1.00
600805,悦达投资,6.60
600807,ST天业,4.00
600808,马钢股份,3.45
600809,山西汾酒,3.50
600810,神马股份,4.68
600811,东方集团,6.69
600812,华北制药,4.00
600814,杭州解百,5.68
600815,*ST厦工,5.00
600816,安信信托,1.50
600817,ST宏盛,24.50
600818,中路股份,5.50
600819,耀皮玻璃,6.80
600820,隧道股份,3.40
600821,津劝业,1.50
600822,上海物贸,3.70
600823,世茂股份,5.00
600824,益民集团,6.60
600825,新华传媒,5.40
600826,兰生股份,5.50
600827,百联股份,5.20
600828,茂业商业,4.10
600829,人民同泰,5.20
600830,香溢融通,5.20
600831,广电网络,1.00
600833,第一医药,4.10
600834,申通地铁,1.50
600835,上海机电,5.50
600836,界龙实业,4.00
600837,海通证券,5.00
600838,上海九百,5.00
600839,四川长虹,1.00
600841,上柴股份,5.20
600843,上工申贝,5.80
600844,丹化科技,5.80
600845,宝信软件,4.00
600846,同济科技,6.00
600847,万里股份,4.00
600848,上海临港,3.50
600850,华东电脑,3.00
600851,海欣股份,7.00
600853,龙建股份,4.90
600854,春兰股份,8.00
600855,航天长峰,3.00
600856,ST中天,4.80
600857,宁波中百,5.80
600858,银座股份,3.00
600859,王府井,8.00
600860,京城股份,5.30
600861,北京城乡,6.00
600862,中航高科,100.00
600863,内蒙华电,3.90
600864,哈投股份,4.60
600865,百大集团,5.80
600866,星湖科技,5.28
600867,通化东宝,6.50
600868,梅雁吉祥,6.00
600869,智慧能源,9.58
600870,ST厦华,13.38
600871,石化油服,2.68
600872,中炬高新,8.00
600873,梅花生物,3.50
600874,创业环保,2.50
600875,东方电气,4.10
600876,洛阳玻璃,5.03
600877,*ST电能,1.00
600879,航天电子,1.00
600880,博瑞传播,3.50
600881,亚泰集团,1.00
600882,妙可蓝多,1.00
600883,博闻科技,1.00
600884,杉杉股份,10.88
600885,宏发股份,4.00
600886,国投电力,1.00
600887,伊利股份,5.95
600888,新疆众和,4.20
600889,南京化纤,3.92
600890,中房股份,6.98
600891,*ST秋林,6.80
600892,大晟文化,1.00
600893,航发动力,6.98
600894,广日股份,3.60
600895,张江高科,6.15
600896,览海投资,3.90
600897,厦门空港,8.80
600898,国美通讯,200.00
600900,长江电力,4.30
600901,江苏租赁,6.25
600903,贵州燃气,2.21
600908,无锡银行,4.47
600909,华安证券,6.41
600917,重庆燃气,3.25
600919,江苏银行,6.27
600926,杭州银行,14.39
600928,西安银行,4.68
600929,湖南盐业,3.71
600933,爱柯迪,11.01
600936,广西广电,4.80
600939,重庆建工,3.12
600958,东方证券,10.03
600959,江苏有线,5.47
600960,渤海汽车,8.00
600961,株冶集团,3.50
600962,国投中鲁,4.80
600963,岳阳林纸,6.69
600965,福成股份,3.15
600966,博汇纸业,11.20
600967,内蒙一机,7.20
600968,海油发展,2.04
600969,郴电国际,5.48
600970,中材国际,7.53
600971,恒源煤电,9.99
600973,宝胜股份,7.80
600975,新五丰,9.20
600976,健民集团,11.60
600977,中国电影,8.92
600978,宜华生活,6.68
600979,广安爱众,4.00
600980,北矿科技,6.56
600981,汇鸿集团,7.20
600982,宁波热电,4.20
600983,惠而浦,2.60
600984,建设机械,6.40
600985,淮北矿业,5.00
600986,科达股份,8.60
600987,航民股份,7.20
600988,赤峰黄金,9.08
600989,宝丰能源,11.12
600990,四创电子,9.79
600992,贵绳股份,7.40
600993,马应龙,16.11
600995,文山电力,8.20
600996,贵广网络,8.92
600997,开滦股份,7.00
600998,九州通,13.00
600999,招商证券,31.00
601000,唐山港,8.20
601001,大同煤业,6.76
601002,晋亿实业,4.26
601003,柳钢股份,10.06
601005,重庆钢铁,2.88
601006,大秦铁路,4.95
601007,金陵饭店,4.25
601008,连云港,4.98
601009,南京银行,11.00
601010,文峰股份,20.00
601011,宝泰隆,18.00
601012,隆基股份,21.00
601015,陕西黑猫,6.15
601016,节能风电,2.17
601018,宁波港,3.70
601019,山东出版,10.16
601020,华钰矿业,7.18
601021,春秋航空,18.16
601028,玉龙股份,10.80
601038,一拖股份,5.40
601058,赛轮轮胎,6.88
601066,中信建投,5.42
601068,中铝国际,3.45
601069,西部黄金,3.57
601077,渝农商行,7.36
601086,国芳集团,3.16
601088,中国神华,36.99
601098,中南传媒,10.66
601099,太平洋,8.00
601100,恒立液压,23.00
601101,昊华能源,29.80
601106,中国一重,5.70
601107,四川成渝,3.60
601108,财通证券,11.38
601111,中国国航,2.80
601113,ST华鼎,14.00
601116,三江购物,11.80
601117,中国化学,5.43
601118,海南橡胶,5.99
601126,四方股份,23.00
601127,小康股份,5.81
601128,常熟银行,4.28
601137,博威合金,27.00
601138,工业富联,13.77
601139,深圳燃气,6.95
601155,新城控股,9.82
601158,重庆水务,6.98
601162,天风证券,1.79
601163,三角轮胎,22.07
601166,兴业银行,15.98
601168,西部矿业,13.48
601169,北京银行,12.50
601177,杭齿前进,8.29
601179,中国西电,7.90
601186,中国铁建,9.08
601188,龙江交通,2.08
601198,东兴证券,9.18
601199,江南水务,18.80
601200,上海环境,20.34
601208,东材科技,20.00
601211,国泰君安,19.71
601212,白银有色,1.78
601216,君正集团,25.00
601218,吉鑫科技,22.50
601222,林洋能源,18.00
601225,陕西煤业,4.00
601226,华电重工,10.00
601228,广州港,2.29
601229,上海银行,17.77
601231,环旭电子,7.60
601233,桐昆股份,27.00
601236,红塔证券,3.46
601238,广汽集团,9.09
601258,*ST庞大,45.00
601288,农业银行,2.68
601298,青岛港,4.61
601311,骆驼股份,18.60
601318,中国平安,33.80
601319,中国人保,3.34
601326,秦港股份,2.34
601328,交通银行,7.90
601330,绿色动力,3.29
601333,广深铁路,3.76
601336,新华保险,23.25
601339,百隆东方,13.60
601360,三六零,12.40
601366,利群股份,8.82
601368,绿城水务,6.43
601369,陕鼓动力,15.50
601375,中原证券,4.00
601377,兴业证券,10.00
601388,怡球资源,13.00
601390,中国中铁,4.80
601398,工商银行,3.12
601500,通用股份,4.92
601515,东风股份,13.20
601518,吉林高速,1.79
601519,大智慧,23.20
601555,东吴证券,6.50
601558,ST锐电,90.00
601566,九牧王,22.00
601567,三星医疗,20.00
601577,长沙银行,7.99
601579,会稽山,4.43
601588,北辰实业,2.40
601595,上海电影,10.19
601598,中国外运,5.24
601599,鹿港文化,10.00
601600,中国铝业,6.60
601601,中国太保,30.00
601606,长城军工,3.33
601607,上海医药,4.50
601608,中信重工,4.67
601611,中国核建,3.47
601615,明阳智能,4.75
601616,广电电气,19.00
601618,中国中冶,5.42
601619,嘉泽新能,1.26
601628,中国人寿,18.88
601633,长城汽车,13.00
601636,旗滨集团,9.00
601666,平煤股份,8.16
601668,中国建筑,4.18
601669,中国电建,4.50
601677,明泰铝业,20.00
601678,滨化股份,19.00
601688,华泰证券,20.00
601689,拓普集团,11.37
601698,中国卫通,2.72
601699,潞安环能,11.00
601700,风范股份,35.00
601717,郑煤机,20.00
