stock_id,area_name
000998,湖南
000999,广东
001696,重庆
001872,广东
001896,河南
001965,天津
001979,广东
002001,浙江
002002,江苏
002003,浙江
002004,重庆
002005,安徽
002006,浙江
002007,河南
002008,广东
002009,江苏
002010,浙江
002011,浙江
002012,浙江
002013,湖北
002014,安徽
002015,江苏
002016,广东
002017,广东
002019,浙江
002020,浙江
002021,浙江
002022,上海
002023,四川
002024,江苏
002025,贵州
002026,山东
002027,广东
002028,上海
002029,福建
002030,广东
002031,广东
002032,浙江
002033,云南
002034,浙江
002035,广东
002036,江西
002037,贵州
002038,北京
002039,贵州
002040,江苏
002041,山东
002042,安徽
002043,浙江
002044,江苏
002045,广东
002046,河南
002047,广东
002048,浙江
002049,河北
002050,浙江
002051,北京
002052,广东
002053,云南
002054,广东
002055,广东
002056,浙江
002057,安徽
002058,上海
002059,云南
002060,广东
002061,浙江
002062,浙江
002063,广东
002064,浙江
002065,北京
002066,北京
002067,浙江
002068,江西
002069,辽宁
002071,江苏
002072,山东
002073,山东
002074,江苏
002075,江苏
002076,广东
002077,江苏
002078,山东
002079,江苏
002080,江苏
002081,江苏
002082,浙江
002083,山东
002084,广东
002085,浙江
002086,山东
002087,河南
002088,山东
002089,江苏
002090,江苏
002091,江苏
002092,新疆
002093,福建
002094,山东
002095,浙江
002096,湖南
002097,湖南
002098,福建
002099,浙江
002100,新疆
002101,广东
002102,福建
002103,浙江
002104,江苏
002105,广东
002106,广东
002107,山东
002108,河北
002109,陕西
002110,福建
002111,山东
002112,浙江
002113,湖南
002114,云南
002115,浙江
002116,上海
002117,山东
002118,吉林
002119,浙江
002120,浙江
002121,广东
002122,浙江
002123,辽宁
002124,浙江
002125,湖南
002126,浙江
002127,江苏
002128,内蒙古
002129,天津
002130,广东
002131,浙江
002132,河南
002133,浙江
002134,天津
002135,浙江
002136,安徽
002137,广东
002138,广东
002139,广东
002140,安徽
002141,广东
002142,浙江
002143,四川
002144,浙江
002145,甘肃
002146,河北
002147,安徽
002148,北京
002149,陕西
002150,江苏
002151,北京
002152,广东
002153,北京
002154,浙江
002155,湖南
002156,江苏
002157,江西
002158,上海
002159,湖北
002160,江苏
002161,广东
002162,上海
002163,广东
002164,浙江
002165,江苏
002166,广西
002167,广东
002168,广东
002169,广东
002170,广东
002171,安徽
002172,江苏
002173,浙江
002174,福建
002175,广西
002176,江西
002177,广东
002178,上海
002179,河南
002180,广东
002181,广东
