stock_id,share_holder_company
600071,北京鼎汇科技有限公司
600071,邱爰玲
600071,北京泰鼎盛信息技术有限公司
600071,上海大东海建筑工程有限公司
600071,王玥人
600072,中国船舶工业集团有限公司
600072,江南造船(集团)有限责任公司
600072,上海国际集团资产管理有限公司
600072,深圳市君如资产管理顾问有限公司-君如木兰3号私募证券投资基金
600072,深圳市君如资产管理顾问有限公司-君如木兰1号私募证券投资基金
600072,深圳市君如资产管理顾问有限公司-君如木兰2号私募证券投资基金
600072,北京恒宇天泽基金销售有限公司-恒宇天泽盈·赢一号私募投资基金
600072,香港中央结算有限公司
600072,财通基金-工商银行-广东华兴银行股份有限公司
600072,常熟市梅李聚沙文化旅游发展有限公司
600073,上海益民食品一厂(集团)有限公司
600073,光明食品(集团)有限公司
600073,中信信托有限责任公司-中信信托成泉汇涌八期金融投资集合资金信托计划
600073,全国社保基金四零三组合
600073,全国社保基金一一三组合
600073,信达国萃股权投资基金(上海)合伙企业(有限合伙)
600073,中央汇金资产管理有限责任公司
600073,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
600073,郭大维
600073,胡卫俊
600074,庄敏
600074,厦门国际信托有限公司-厦门信托-汇金1619号股权收益权集合资金信托计划
600074,华融证券-平安银行-华融股票宝28号集合资产管理计划
600074,陈海昌
600074,厦门国际信托有限公司-厦门信托-汇金1615号集合资金信托
600074,庄明
600074,红塔红土基金-浙商银行-渤海国际信托股份有限公司
600074,齐鲁证券资管-工商银行-齐鲁青辰8号集合资产管理计划
600074,华融证券股份有限公司
600074,华融证券-招商证券-华融股票宝22号集合资产管理计划
600075,新疆天业(集团)有限公司
600075,万家共赢-中信银行-万家共赢安泰1号专项资产管理计划
600075,海富通基金-民生银行-五矿信托-民生保腾投资集合资金信托计划
600075,金石期货有限公司-中新建招商股权投资有限公司
600075,石河子城市建设投资经营有限公司
600075,石河子国资资本运营有限公司
600075,石河子市天富智盛股权投资有限公司
600075,金石期货有限公司-新疆生产建设兵团联创股权投资有限合伙企业
600075,香港中央结算有限公司
600075,太平人寿保险有限公司-分红-个险分红
600076,李洁
600076,无锡市建设发展投资有限公司
600076,无锡市国发资本运营有限公司
600076,郭志先
600076,李汉华
600076,周晓璐
600076,王桂香
600076,北京东方国兴科技发展有限公司
600076,中国人民人寿保险股份有限公司-传统-普通保险产品
600076,无锡国联金融投资集团有限公司
600077,浙江宋都控股有限公司
600077,俞建午
600077,郭轶娟
600077,宋都基业投资股份有限公司-2016年员工持股计划
600077,宋都基业投资股份有限公司-2018年员工持股计划
600077,云南国际信托有限公司-苍穹1号单一资金信托
600077,吴玉英
600077,胡月东
600077,王鹤鸣
600077,张建军
600078,江阴澄星实业集团有限公司
600078,江阴汉盈投资有限公司
600078,吴海燕
600078,牟海鹏
600078,马立晓
600078,中国证券金融股份有限公司
600078,李红
600078,陈志兴
600078,陆惠琴
600078,梁洁
600079,武汉当代科技产业集团股份有限公司
600079,上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金
600079,中央汇金资产管理有限责任公司
600079,中国证券金融股份有限公司
600079,全国社保基金一一三组合
600079,香港中央结算有限公司
600079,UBS AG
600079,基本养老保险基金八零二组合
600079,武汉高科国有控股集团有限公司
600079,汇添富基金-工商银行-汇添富-优势医药企业定增计划2号资产管理计划
600079,汇添富基金-宁波银行-汇添富-优势医药企业定增计划1号资产管理计划
600080,金花投资控股集团有限公司
600080,世纪金花股份有限公司
600080,陈慧
600080,深圳市前海天阳金融服务股份公司-天阳新价值私募证券投资基金
600080,北京融亨基金管理有限公司-融亨稳盈证券私募投资基金
600080,赵海祥
600080,李兴华
600080,周晓军
600080,杨文婷
600080,李铁坤
600081,东风汽车零部件(集团)有限公司
600081,蔡珏
600081,高玉环
600081,张恩权
600081,周亚芬
600081,珠海万佳投资管理有限公司-万佳鑫1号证券投资基金
600081,广东合晟网络科技有限公司
600081,杜华军
600081,香港中央结算有限公司
600081,田健虎
600082,天津海泰控股集团有限公司
600082,天津华苑置业有限公司
600082,陈月华
600082,天津津融国信资本管理有限公司
600082,蒋海滨
600082,郑卫良
600082,钱军
600082,林惠明
600082,楼景杭
600082,刘淑兰
600083,苏州晟隽营销管理有限公司
600083,西藏康盛投资管理有限公司
600083,徐纪军
600083,胡炜
600083,毕方(杭州)资产管理有限公司-毕方元鑫1号私募证券投资基金
600083,发行人未明确持有人
600083,任璨
600083,李慎
600083,刘江霞
600083,胡序芳
600084,中信国安集团有限公司
600084,中信国安投资有限公司
600084,新疆生产建设兵团投资有限责任公司
600084,孙伟
600084,马秋丽
600084,张玲
600084,蒋丽君
600084,谢定元
600084,尹宏岗
600084,于桂芝
600085,中国北京同仁堂(集团)有限责任公司
600085,安邦人寿保险股份有限公司-保守型投资组合
600085,安邦人寿保险股份有限公司-积极型投资组合
600085,中国证券金融股份有限公司
600085,全国社保基金一零三组合
600085,香港中央结算有限公司
600085,中央汇金资产管理有限责任公司
600085,安本标准投资管理(亚洲)有限公司-安本标准-中国A股股票基金
600085,农银人寿保险股份有限公司-分红保险产品
600085,太平人寿保险有限公司-传统-普通保险产品-022L-CT001沪
600086,瑞丽金泽投资管理有限公司
600086,云南兴龙实业有限公司
600086,上海国际信托有限公司-上信-浦银股益4号集合资金信托计划
600086,天风证券-湖北省国有资本运营有限公司-天风证券天权50号定向资产管理计划
600086,韩耀宇
600086,中国证券金融股份有限公司
600086,博时基金-农业银行-博时中证金融资产管理计划
