stock_id,law_office_name
600841,上海市金茂律师事务所
600843,上海市震旦律师事务所
600844,国浩律师(南京)事务所
600845,上海市华诚律师事务所
600846,北京市炜衡律师事务所上海分所
600847,重庆坤源衡泰律师事务所
600848,国浩律师(上海)事务所
600850,国浩律师(上海)事务所
600851,国浩律师(上海)事务所
600853,北京市中高盛律师事务所
600854,江苏世纪同仁律师事务所
600855,北京市天银律师事务所
600856,北京市中伦律师事务所
600857,国浩律师(杭州)事务所
600858,国浩律师(济南)事务所
600859,北京市海问律师事务所
600860,北京市康达律师事务所
600861,北京市百瑞律师事务所
600862,北京市嘉源律师事务所上海分所
600863,北京市嘉源律师事务所
600864,黑龙江仁大律师事务所
600865,浙江天册律师事务所
600866,广东中信协诚律师事务所
600867,吉林秉责律师事务所
600868,"广东杨辉律师事务所,广东客都律师事务所"
600869,国浩律师(上海)事务所
600870,福建天衡联合律师事务所
600871,北京市海问律师事务所
600872,广东金丰华律师事务所
600873,北京海润天睿律师事务所
600874,北京市君合律师事务所
600875,北京市金杜律师事务所
600876,河南耀骅律师事务所
600877,国浩律师(重庆)事务所
600879,国浩律师(上海)事务所
600880,四川商信律师事务所
600881,吉林秉责律师事务所
600882,上海市瑛明律师事务所
600883,云南天途律师事务所
600884,北京市天元律师事务所
600885,北京大成(厦门)律师事务所
600886,北京市天元律师事务所
600887,北京天驰君泰律师事务所
600888,新疆天阳律师事务所
600889,江苏苏德律师事务所
600890,北京市盈科律师事务所
600891,黑龙江鸿旭律师事务所
600892,北京大成(深圳)律师事务所
600893,北京市嘉源律师事务所
600894,广东华商律师事务所
600895,上海市通力律师事务所
600896,国浩律师(上海)事务所
600897,上海市锦天城(厦门)律师事务所
600898,北京市竞天公诚律师事务所
600900,北京德恒律师事务所
600901,江苏世纪同仁律师事务所
600903,北京市金杜律师事务所
600908,江苏世纪同仁律师事务所
600909,安徽天禾律师事务所
600917,重庆静昇律师事务所
600919,江苏世纪同仁律师事务所
600926,浙江天册律师事务所
600928,北京市金杜律师事务所
600929,湖南启元律师事务所
600933,上海市通力律师事务所
600936,国浩律师(南宁)事务所
600939,北京德恒(重庆)律师事务所
600958,国浩律师(上海)事务所
600959,北京市中伦律师事务所
600960,北京市君致律师事务所
600961,湖南金州律师事务所
600962,北京市万商天勤律师事务所
600963,湖南启元律师事务所
600965,北京市天元律师事务所
600966,北京市君致律师事务所
600967,内蒙古建中律师事务所
600968,北京市通商律师事务所
600969,湖南人和人律师事务所
600970,北京德恒律师事务所
600971,安徽天禾律师事务所
600973,江苏泰和律师事务所
600975,湖南启元律师事务所
600976,湖北安格律师事务所
600977,北京市环球律师事务所
600978,国浩律师(广州)事务所
600979,北京康达(成都)律师事务所
600980,北京市金台律师事务所
600981,国浩律师(南京)事务所
600982,国浩律师(杭州)事务所
600983,安徽天禾律师事务所
600984,北京市嘉源律师事务所
600985,安徽天禾律师事务所
600986,北京市君合律师事务所
600987,浙江天册律师事务所
600988,北京市万商天勤律师事务所
600989,北京市嘉源律师事务所
600990,安徽天禾律师事务所
600992,贵州佳信律师事务所
600993,湖北瑞通天元律师事务所
600995,上海柏年律师事务所
600996,北京市中伦律师事务所
600997,北京国枫律师事务所
600998,北京海润天睿律师事务所
600999,北京市嘉源律师事务所
601000,北京市天元律师事务所
601001,北京市金杜律师事务所
601002,浙江国傲律师事务所
601003,上海市锦天城(深圳)律师事务所
601005,北京市中伦律师事务所
601006,北京市众鑫律师事务所
601007,江苏金禾律师事务所
601008,国浩律师(上海)事务所
601009,江苏金禾律师事务所
601010,北京大成(南通)律师事务所
601011,黑龙江政通律师事务所
601012,北京市中伦律师事务所
601015,北京大成律师事务所
601016,北京市天元律师事务所
601018,浙江和义观达律师事务所
601019,北京市竞天公诚律师事务所
601020,北京德恒律师事务所
601021,北京市嘉源律师事务所上海分所
601028,北京国枫律师事务所
601038,北京市京都律师事务所
601058,山东琴岛律师事务所
601066,北京市金杜律师事务所
601068,北京市嘉源律师事务所
601069,北京国枫律师事务所
601077,北京市君合律师事务所
601086,国浩律师(上海)事务所
601088,"北京市金杜律师事务所,史密夫斐尔律师事务所"
601098,湖南启元律师事务所
601099,北京德恒律师事务所
601100,江苏世纪同仁律师事务所
601101,北京市中银律师事务所
601106,北京市嘉源律师事务所
601107,北京市中银(成都)律师事务所
601108,上海锦天城律师事务所
601111,北京德恒律师事务所
601113,上海市锦天城律师事务所
601116,浙江素豪律师事务所
601117,北京海润天睿律师事务所
601118,海南信达律师事务所
601126,北京市竞天公诚律师事务所
601127,北京市金杜律师事务所
