company_name,stock_id,stock_name,industry_name,legal_person_name,chief_name,area_name,law_office_name,stock_price,share_holder,leader
春秋航空股份有限公司,601021,春秋航空,民航机场,王煜,王煜,上海,北京市嘉源律师事务所上海分所,18.16,"['上海春秋国际旅行社(集团)有限公司', '香港中央结算有限公司', '上海春秋包机旅行社有限公司', '上海春翔投资有限公司', '民生加银基金-平安银行-民生加银鑫牛定向增发82号资产管理计划', '中国证券金融股份有限公司', '上海春翼投资有限公司', '诺德基金-招商银行-诺德千金217号特定客户资产管理计划', '华宝(上海)股权投资基金管理有限公司-华宝新趋势私募股权投资基金', '鹏华资产-浦发银行-鹏华资产白泽1号资产管理计划']","['王刚', '王煜', '陈乃蔚', '王清晨', '吕超', '沈巍', '张秀智', '钱世政', '吴新宇', '宋鹏', '沈善杰', '徐国萍', '唐芳', '黄兴稳', '王正华', '滕石敏', '王志杰', '陈可', '王志杰', '杨素英']"
江苏玉龙钢管股份有限公司,601028,玉龙股份,金属制品,赖郁尘,赖郁尘,江苏,北京国枫律师事务所,10.80,"['上海厚皑科技有限公司', '拉萨市知合科技发展有限公司', '禤新洲', '杨建明', '沈建海', '杨根浩', '魏强', '洪涛', '吕家芬', '莫川秋']","['李春平', '林向欢', '赖郁尘', '王建平', '郭明', '黄永直', '梁海涛', '卢奋奇', '牟文新', '卢奋奇', '黄永直', '彭泽蔚']"
第一拖拉机股份有限公司,601038,一拖股份,机械行业,黎晓煜,黎晓煜,河南,北京市京都律师事务所,5.40,"['中国一拖集团有限公司', 'HKSCC NOMINEES LIMITED', '中国建设银行股份有限公司河南省分行', '香港中央结算有限公司', '王宇', '陈立雄', '林岳', 'LIU HON NAM', '曾凡胜', '陈飞']","['于丽娜', '赵俊芬', '刘继国', '苏文生', '杨昆', '王洪斌', '薛文璞', '周泓海', '杨敏丽', '谢东钢', '王玉茹', '王克俊', '刘继国', '薛立品', '蔡济波', '黎晓煜', '李鹤鹏', '于增彪', '张斌', '田鹏']"
赛轮集团股份有限公司,601058,赛轮轮胎,塑胶制品,袁仲雪,袁仲雪,山东,山东琴岛律师事务所,6.88,"['新华联控股有限公司', '杜玉岱', '香港中央结算有限公司', '延万华', '赛轮集团股份有限公司回购专用证券账户', '青岛煜明投资中心(有限合伙)', '袁仲雪', '黄山海慧科技投资有限公司', '招商银行股份有限公司-东方红睿丰灵活配置混合型证券投资基金(LOF)', '陆家嘴国际信托有限公司-陆家嘴信托-国裕1号单一资金信托']","['王建业', '袁仲雪', '周波', '杜玉岱', '胡秀敏', '王建业', '丁乃秀', '宋军', '张必书', '刘燕华', '谢岭', '朱小兵', '李吉庆', '周天明', '李晓东', '谢小红', '延万华', '宋军', '周如刚', '刘树国', '袁仲雪']"
中信建投证券股份有限公司,601066,中信建投,券商信托,王常青,王常青,北京,北京市金杜律师事务所,5.42,"['北京国有资本经营管理中心', '中央汇金投资有限责任公司', '香港中央结算(代理人)有限公司', '中信证券股份有限公司', '镜湖控股有限公司', '西藏腾云投资管理有限公司', '上海商言投资中心(有限合伙)', '中国国有企业结构调整基金股份有限公司', '陈忠', '领航投资澳洲有限公司-领航新兴市场股指基金(交易所)']","['刘俏', '王广学', '汪浩', '张沁', '周志钢', '李士华', '李格平', '戴德明', '董轼', '朱佳', '赵丽君', '王常青', '白建军', '徐刚', '赵明', '李格平', '艾波', '冯根福', '林煊', '朱圣琴', '王波', '于仲福']"
中铝国际工程股份有限公司,601068,中铝国际,工程建设,武建强,武建强,北京,北京市嘉源律师事务所,3.45,"['中国铝业集团有限公司', '香港中央结算(代理人)有限公司', '洛阳有色金属加工设计研究院有限公司', '阮美霞', '中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金', '香港中央结算有限公司', '张松', '张鹤', '姚元熙', '领航投资澳洲有限公司-领航新兴市场股指基金(交易所)']","['王永红', '伏军', '欧小武', '李宜华', '宗小平', '毕效革', '李卫', '刘瑞平', '吴志刚', '范光生', '吴志刚', '宗小平', '王军', '张建', '张建', '桂卫华', '张鸿光', '武建强']"
西部黄金股份有限公司,601069,西部黄金,贵金属,张国华,张国华,新疆,北京国枫律师事务所,3.57,"['新疆有色金属工业(集团)有限责任公司', '香港中央结算有限公司', '中信证券股份有限公司-前海开源金银珠宝主题精选灵活配置混合型证券投资基金', '唐付平', '法国兴业银行', '交通银行股份有限公司-前海开源多元策略灵活配置混合型证券投资基金', '郑莉', '邱宇', '中国建设银行股份有限公司-国泰国证有色金属行业指数分级证券投资基金', '董泽清']","['肖飞', '唐向阳', '徐渊', '张华军', '玉素甫江·提力瓦力德', '段卫东', '陈建国', '刘朝辉', '何建璋', '杨立芳', '何建璋', '朱文斌', '孙建华', '刘朝辉', '宋海波', '冯念仁', '张国华', '禹国军']"
重庆农村商业银行股份有限公司,601077,渝农商行,银行,刘建忠,刘建忠,重庆,北京市君合律师事务所,7.36,"['重庆渝富资产经营管理集团有限公司', '重庆市城市建设投资(集团)有限公司', '重庆交通旅游投资集团有限公司', '隆鑫控股有限公司', '重庆财信企业集团有限公司', '未确认持有人证券专用账户', '北京九鼎房地产开发有限责任公司', '厦门市高鑫泓股权投资有限公司', '江苏华西集团有限公司', '重庆业瑞房地产开发有限公司']","['曾建武', '胡书春', '张鹏', '谢文辉', '谢文辉', '左瑞蓝', '曹国华', '王洪', '朱于舟', '温洪海', '李明豪', '张培宗', '罗宇星', '王敏', '董路', '刘江桥', '高嵩', '陈晓燕', '张桥云', '张培宗', '舒静', '宋清华', '郑义', '刘建忠', '乐小明', '潘理科', '袁增霆']"
甘肃国芳工贸(集团)股份有限公司,601086,国芳集团,商业百货,张国芳,张国芳,甘肃,国浩律师(上海)事务所,3.16,"['张国芳', '张春芳', '张辉阳', '张辉', '吕月芳', '蒋勇', '赵阳海', '杜芸', '陈峰', '窦晓雨']","['陈永平', '张辉阳', '王丹萸', '蒋勇', '韩晓丽', '张国芳', '张辉', '张辉', '余丽华', '余丽华', '魏莉丽', '李成言', '冯万奇', '孟丽']"
中国神华能源股份有限公司,601088,中国神华,煤炭采选,王祥喜,王祥喜,北京,"北京市金杜律师事务所,史密夫斐尔律师事务所",36.99,"['国家能源投资集团有限责任公司', 'HKSCC NOMINEES LIMITED', '中国证券金融股份有限公司', '北京诚通金控投资有限公司', '中央汇金资产管理有限责任公司', '香港中央结算有限公司', '招商银行股份有限公司-博时中证央企创新驱动交易型开放式指数证券投资基金', '中国银行股份有限公司-嘉实中证央企创新驱动交易型开放式指数证券投资基金', '中国工商银行股份有限公司-广发中证央企创新驱动交易型开放式指数证券投资基金', '中国建设银行股份有限公司-富国中证央企创新驱动交易型开放式指数证券投资基金']","['王祥喜', '高嵩', '杨吉平', '李东', '周大宇', '谭惠珠', '赵永峰', '许山成', '彭苏萍', '许明军', '黄清', '翟日成', '申林', '钟颖洁', '姜波', '张光德', '米树华', '赵吉斌', '李东']"
中南出版传媒集团股份有限公司,601098,中南传媒,文化传媒,龚曙光,龚曙光,湖南,湖南启元律师事务所,10.66,"['湖南出版投资控股集团有限公司', '香港中央结算有限公司', '湖南盛力投资有限责任公司', '中国证券金融股份有限公司', '全国社保基金一零三组合', '香港金融管理局-自有资金', '中央汇金资产管理有限责任公司', '全国社保基金一一五组合', '中国工商银行股份有限公司-景顺长城沪港深精选股票型证券投资基金', '中国农业银行股份有限公司-景顺长城能源基建混合型证券投资基金']","['龚勇', '黄楚芳', '彭玻', '龚曙光', '陈共荣', '刘闳', '高军', '张子云', '唐薇', '高军', '舒斌', '张旭东', '贺小刚', '陈昕', '刘清华', '徐述富', '李雄伟', '丁双平', '季水河', '王丽波', '胡坚', '杨林', '丁双平']"
太平洋证券股份有限公司,601099,太平洋,券商信托,李长伟,郑亚南,云南,北京德恒律师事务所,8.00,"['北京嘉裕投资有限公司', '大连天盛硕博科技有限公司', '陕西省国际信托股份有限公司-陕国投·财富72号单一资金信托', '中央汇金资产管理有限责任公司', '中国证券金融股份有限公司', '中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金', '深圳市天翼投资发展有限公司', '嘉实基金-农业银行-嘉实中证金融资产管理计划', '中国银行股份有限公司-招商中证全指证券公司指数分级证券投资基金', '香港中央结算有限公司']","['郑亿华', '李长伟', '许弟伟', '杨智峰', '何忠泽', '程绪兰', '康静', '黄静波', '张宪', '史明坤', '周岚', '张东海', '冯一兵', '郑亚南', '唐卫华', '黄慧馨', '丁吉', '张洪斌', '刘伯安', '聂愿牛']"
江苏恒立液压股份有限公司,601100,恒立液压,机械行业,汪立平,汪立平,江苏,江苏世纪同仁律师事务所,23.00,"['常州恒屹智能装备有限公司', '申诺科技(香港)有限公司', '江苏恒立投资有限公司', '香港中央结算有限公司', 'DEUTSCHE BANK AKTIENGESELLSCHAFT', '中国银行-华夏大盘精选证券投资基金', '天达资产管理有限公司-天达环球策略基金-全中国股票基金(交易所)', '全国社保基金一零八组合', '兴业银行股份有限公司-兴全趋势投资混合型证券投资基金', '全国社保基金四零六组合']","['徐进', '苏娅', '胡国享', '俞雪华', '邱永宁', '潘静波', '徐进', '赵雪阳', '汪立平', '张小芳', '邱永宁', '陈柏', '彭玫', '王斌', '徐兵', '胡国享', '韩月环']"
北京昊华能源股份有限公司,601101,昊华能源,煤炭采选,关志生,关志生,北京,北京市中银律师事务所,29.80,"['北京能源集团有限责任公司', '首钢集团有限公司', '中国中煤能源集团有限公司', '中央汇金资产管理有限责任公司', '陈征平', '王建生', '何冬海', '熊蓉蓉', '曾德生', '谭建荣']","['谷中和', '彭苏萍', '周晓东', '穆林娟', '李长立', '朱大旗', '娄英杰', '李刚', '于福国', '许汇海', '张伟', '谷中和', '牛延军', '薛志宏', '斯萍君', '杨庆功', '汪昌云', '魏垚', '耿云虹', '关志生', '薛令光', '张一弛', '王忠武', '张伟']"
中国第一重型机械股份公司,601106,中国一重,机械行业,隋炳利,--,黑龙江,北京市嘉源律师事务所,5.70,"['中国一重集团有限公司', '中国证券金融股份有限公司', '中国华融资产管理股份有限公司', '中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金', '林富英', '许锡龙', '黄世鑫', '薛卓丹', '博时基金-农业银行-博时中证金融资产管理计划', '易方达基金-农业银行-易方达中证金融资产管理计划', '大成基金-农业银行-大成中证金融资产管理计划', '广发基金-农业银行-广发中证金融资产管理计划', '中欧基金-农业银行-中欧中证金融资产管理计划', '南方基金-农业银行-南方中证金融资产管理计划', '平安银行股份有限公司-中证800交易型开放式指数证券投资基金']","['常英海', '张皓', '朱青山', '隋炳利', '潘朝明', '朱元巢', '张建平', '许崇勇', '关永昌', '胡建民', '蒋金水', '刘长琦', '于兆卿', '周永禄', '胡恩国', '隋炳利', '祁文革', '杜兵']"
四川成渝高速公路股份有限公司,601107,四川成渝,高速公路,周黎明,周黎明,四川,北京市中银(成都)律师事务所,3.60,"['四川省交通投资集团有限责任公司', 'HKSCC NOMINEES LIMITED', '招商局公路网络科技控股股份有限公司', '香港中央结算有限公司', '中国建设银行股份有限公司-华夏中证四川国企改革交易型开放式指数证券投资基金', '叶国林', '张智俊', '杨奕', '龚方新', '黄桂玉']","['罗茂泉', '张永年', '游志明', '孟杰', '王峣', '罗茂泉', '甘勇义', '李桃', '高晋康', '李文虎', '郭人荣', '冯兵', '刘莉娜', '贺竹磬', '晏启祥', '甘勇义', '周黎明', '李成勇', '刘俊杰', '胡耀升', '凌希云', '倪士林', '黑比拉彝', '步丹璐']"
