stock_id,chief_name
600986,刘锋杰
600987,朱重庆
600988,吕晓兆
600989,党彦宝
600990,陈信平
600992,王小刚
600993,陈平
600995,黄兴仓
600996,李巍
600997,苏科舜
600998,刘宝林
600999,霍达
601000,宣国宝
601001,武望国
601002,蔡永龙
601003,陈有升
601005,周竹平
601006,程先东
601007,李茜
601008,李春宏
601009,胡昇荣
601010,陈松林
601011,焦云
601012,钟宝申
601015,李保平
601016,刘斌
601018,毛剑宏
601019,张志华
601020,刘建军
601021,王煜
601028,赖郁尘
601038,黎晓煜
601058,袁仲雪
601066,王常青
601068,武建强
601069,张国华
601077,刘建忠
601086,张国芳
601088,王祥喜
601098,龚曙光
601099,郑亚南
601100,汪立平
601101,关志生
601106,--
601107,周黎明
601108,陆建强
601111,蔡剑江
601113,丁尔民
601116,陈念慈
601117,戴和根
601118,王任飞
601126,高秀环
601127,张兴海
601128,宋建明
601137,谢识才
601138,李军旗
601139,李真
601155,王晓松
601158,王世安
601162,余磊
601163,丁木
601166,陶以平(代)
601168,张永利
601169,张东宁
601177,夏柏林
601179,白忠泉
601186,陈奋健
601188,孙熠嵩
601198,魏庆华
601199,华锋
601200,颜晓斐
601208,唐安斌(代)
601211,贺青
601212,张锦林
601216,黄辉
601218,包士金
601222,陆永华
601225,闵龙
601226,文端超
601228,李益波
601229,金煜
601231,陈昌益
601233,陈士良
601236,李剑波
601238,曾庆洪
601258,MAXIANG(马骧)
601288,周慕冰
601298,李奉利
601311,刘长来
601318,马明哲
601319,缪建民
601326,曹子玉
601328,任德奇(代)
601330,直军
601333,武勇
601336,刘浩凌
601339,杨卫新
601360,周鸿祎
601366,徐恭藻
601368,黄东海
601369,李宏安
601375,菅明军
601377,杨华辉
601388,林胜枝
601390,张宗言
601398,陈四清
601500,顾萃
601515,黄晓佳
601518,郝晶祥
601519,张志宏
601555,范力
601558,马忠
601566,林聪颖
601567,郑坚江
601577,朱玉国
601579,虞伟强
601588,贺江川
601595,任仲伦
601598,李关鹏
601599,钱文龙
601600,卢东亮
601601,孔庆伟
601606,王本河
601607,周军
601608,俞章法
601611,李晓明
601615,张传卫
601616,赵淑文
601618,国文清
601619,陈波
601628,王滨
601633,魏建军
601636,姚培武
601666,潘树启
601668,周乃翔
601669,晏志勇
601677,马廷义
601678,张忠正
601688,周易
601689,邬建树
601698,李忠宝
601699,游浩
601700,范建刚
601717,焦承尧
601718,李义岭
601727,郑建华
601766,刘化龙
601777,牟刚
601788,闫峻
601789,周杰
601798,段玉林
601799,周晓萍
601800,刘起涛
601801,吴文胜
601808,齐美胜
601811,何志勇
601818,李晓鹏
601828,车建兴
601838,王晖
601857,王宜林
601858,林鹏
601860,张小军
601865,阮洪良
601866,王大雄
601869,马杰
601872,谢春林
601877,南存辉
601878,吴承根
601880,徐颂
601881,陈共炎
601882,张静章
601886,刘载望
601888,彭辉
601890,陶安祥
601898,李延江
601899,陈景河
601900,谭君铁
601901,施华
601908,冯焕培
601918,陈培
601919,许立荣
601928,梁勇
601929,王胜杰
601933,班哲明·凯瑟克
601939,田国立
601949,谭跃
601952,胡兆辉
601958,程方方
601965,李开国
601966,王锋
601968,曹清
601969,刘明东
601975,张保良
601985,陈桦
601988,刘连舸
601989,姜仁锋
601990,步国旬
601991,陈飞虎
601992,姜德义
601996,刘一川
601997,张正海
601998,李庆萍
601999,杨建军
603000,叶蓁蓁
603001,王振滔
603002,林瑞荣
603003,徐增增
603005,王蔚
603006,徐涛明
603007,肖姣君
603008,陈阿裕
603009,靳坤
603010,高献国
603011,严建文
603012,石华辉
603013,郝建
603015,熊钰麟
603016,赵敏海
603017,冯正功
603018,杨卫东
603019,李国杰
603020,魏中浩
603021,张德华
603022,曹文洁
603023,陈振华
603025,郑建军
603026,郭天明
603027,伍超群
603028,崔子锋
603029,王新亭
603030,朱斌
603031,陈学高
603032,王仲鸣
603033,叶继跃
603035,罗小春
603036,曹彩红
603037,杨建刚
603038,谭洪汝
603039,韦利东
603040,徐纳
603041,孙宇
603042,胥爱民
603043,徐伟兵
603045,王达武
603050,张成锁
603055,施清岛
603056,崔维星
603058,邓代兴
603059,张文生
603060,姚燕
603063,韩玉
603066,金跃跃
603067,蔡再华
603068,Pengfei Zhang
603069,姜宏涛
603076,赖云来
603077,曾小平
603078,殷福华
603079,洪爱
603080,赵安林
603081,丰华
603083,Gerald G Wong
603085,陈邦锐
603086,王现全
603088,郑良才
603089,郑念辉
603090,钮法清
603093,罗旭峰
603096,陈明俊
603098,刘爱森
603099,王昆
603100,吴朋
603101,潘锦海
603103,徐天福
603105,张利忠
603106,江浩然
603108,刘辉
603110,樊家驹
603111,陈颖奇
603113,秦庆平
603115,陈健
603116,钱金波
603117,黄保忠
603118,汪大维
603121,吴怀磊
603123,匡振兴
603126,张奇
603127,冯宇霞
603128,朱碧新
603129,赖国贵
603131,舒宏瑞
603133,徐世中
603136,孟广才
603138,闫忠文
603139,王延岭
603156,姚奎章
603157,邢加兴
603158,蒋学真
603159,谢亚明
603160,张帆
603161,陈洪民
603165,冯荣华
603166,黎福超
603167,孙厚昌
603168,陈德康
603169,张璞临
603177,金猛
603178,罗玉龙
603179,唐志华
603180,温建怀
603181,王伟松
603183,吴小翔
603185,杨建良
603186,刘涛
603187,邵伟
603188,许芸霞
603189,冯达
603192,钱建中
603196,王卫东
603197,陈洪凌
603198,倪永培
603199,舒畅
603200,王炜
603203,金春
603208,吴水根
603214,施琼
603217,刘修华
603218,傅明康
603220,李六兵
603222,李丽莎
603223,刘振东
603225,庄奎龙
603226,Jürgen Vohringer
603227,康健
603228,刘绍柏
603229,郑志国
603232,孔令钢
603233,柯云峰
603236,钱鹏鹤
603238,任建华
603239,李起富
603256,毛嘉明
603258,胡建平
603259,李革
603260,罗立国
603266,胡建立
603267,郑红
603268,徐鸣镝
603269,金敖大
603277,周俊杰
603278,窦勇
603279,姜桂廷
603283,孙丰
603286,是蓉珠
